Category: All categories

Day,Nvidia: (Worldwide)
2022-07-01,56
2022-07-02,49
2022-07-03,46
2022-07-04,51
2022-07-05,55
2022-07-06,54
2022-07-07,53
2022-07-08,52
2022-07-09,47
2022-07-10,46
2022-07-11,56
2022-07-12,56
2022-07-13,61
2022-07-14,56
2022-07-15,57
2022-07-16,56
2022-07-17,53
2022-07-18,63
2022-07-19,63
2022-07-20,63
2022-07-21,63
2022-07-22,62
2022-07-23,54
2022-07-24,48
2022-07-25,55
2022-07-26,59
2022-07-27,61
2022-07-28,59
2022-07-29,60
2022-07-30,50
2022-07-31,47
2022-08-01,58
2022-08-02,57
2022-08-03,57
2022-08-04,59
2022-08-05,53
2022-08-06,49
2022-08-07,50
2022-08-08,67
2022-08-09,61
2022-08-10,62
2022-08-11,61
2022-08-12,56
2022-08-13,52
2022-08-14,48
2022-08-15,57
2022-08-16,56
2022-08-17,56
2022-08-18,57
2022-08-19,56
2022-08-20,50
2022-08-21,47
2022-08-22,54
2022-08-23,54
2022-08-24,63
2022-08-25,61
2022-08-26,54
2022-08-27,47
2022-08-28,43
2022-08-29,51
2022-08-30,52
2022-08-31,54
2022-09-01,71
2022-09-02,62
2022-09-03,49
2022-09-04,45
2022-09-05,47
2022-09-06,53
2022-09-07,54
2022-09-08,49
2022-09-09,49
2022-09-10,44
2022-09-11,43
2022-09-12,52
2022-09-13,51
2022-09-14,53
2022-09-15,53
2022-09-16,59
2022-09-17,57
2022-09-18,49
2022-09-19,57
2022-09-20,100
2022-09-21,89
2022-09-22,70
2022-09-23,64
2022-09-24,59
2022-09-25,58
2022-09-26,55
2022-09-27,57
2022-09-28,58
2022-09-29,56
2022-09-30,56
2022-10-01,51
2022-10-02,45
2022-10-03,54
2022-10-04,52
2022-10-05,54
2022-10-06,56
2022-10-07,57
2022-10-08,49
2022-10-09,47
2022-10-10,52
2022-10-11,64
2022-10-12,72
2022-10-13,63
2022-10-14,65
2022-10-15,57
2022-10-16,53
2022-10-17,55
2022-10-18,53
2022-10-19,57
2022-10-20,55
2022-10-21,57
2022-10-22,53
2022-10-23,45
2022-10-24,48
2022-10-25,53
2022-10-26,53
2022-10-27,57
2022-10-28,62
2022-10-29,59
2022-10-30,57
2022-10-31,67
2022-11-01,60
2022-11-02,60
2022-11-03,62
2022-11-04,67
2022-11-05,63
2022-11-06,53
2022-11-07,55
2022-11-08,59
2022-11-09,57
2022-11-10,62
2022-11-11,64
2022-11-12,57
2022-11-13,52
2022-11-14,58
2022-11-15,60
2022-11-16,75
2022-11-17,76
2022-11-18,65
2022-11-19,64
2022-11-20,57
2022-11-21,55
2022-11-22,55
2022-11-23,55
2022-11-24,54
2022-11-25,60
2022-11-26,56
2022-11-27,54
2022-11-28,55
2022-11-29,55
2022-11-30,54
2022-12-01,55
2022-12-02,54
2022-12-03,59
2022-12-04,55
2022-12-05,53
2022-12-06,52
2022-12-07,55
2022-12-08,62
2022-12-09,56
2022-12-10,54
2022-12-11,55
2022-12-12,52
2022-12-13,59
2022-12-14,57
2022-12-15,58
2022-12-16,59
2022-12-17,55
2022-12-18,48
2022-12-19,53
2022-12-20,54
2022-12-21,56
2022-12-22,57
2022-12-23,59
2022-12-24,49
2022-12-25,59
2022-12-26,59
2022-12-27,57
2022-12-28,60
2022-12-29,56
2022-12-30,57
2022-12-31,46
