Category: All categories

Day,Nvidia: (Worldwide)
2019-07-01,71
2019-07-02,69
2019-07-03,74
2019-07-04,68
2019-07-05,65
2019-07-06,68
2019-07-07,71
2019-07-08,70
2019-07-09,80
2019-07-10,74
2019-07-11,73
2019-07-12,81
2019-07-13,67
2019-07-14,71
2019-07-15,67
2019-07-16,61
2019-07-17,60
2019-07-18,66
2019-07-19,71
2019-07-20,64
2019-07-21,60
2019-07-22,59
2019-07-23,66
2019-07-24,64
2019-07-25,67
2019-07-26,62
2019-07-27,64
2019-07-28,65
2019-07-29,61
2019-07-30,59
2019-07-31,66
2019-08-01,64
2019-08-02,65
2019-08-03,65
2019-08-04,67
2019-08-05,66
2019-08-06,68
2019-08-07,62
2019-08-08,61
2019-08-09,63
2019-08-10,60
2019-08-11,61
2019-08-12,58
2019-08-13,58
2019-08-14,62
2019-08-15,69
2019-08-16,70
2019-08-17,72
2019-08-18,69
2019-08-19,73
2019-08-20,85
2019-08-21,83
2019-08-22,77
2019-08-23,78
2019-08-24,71
2019-08-25,74
2019-08-26,71
2019-08-27,76
2019-08-28,71
2019-08-29,70
2019-08-30,76
2019-08-31,68
2019-09-01,65
2019-09-02,61
2019-09-03,65
2019-09-04,69
2019-09-05,70
2019-09-06,71
2019-09-07,68
2019-09-08,68
2019-09-09,69
2019-09-10,81
2019-09-11,83
2019-09-12,84
2019-09-13,87
2019-09-14,87
2019-09-15,80
2019-09-16,61
2019-09-17,63
2019-09-18,67
2019-09-19,62
2019-09-20,70
2019-09-21,68
2019-09-22,65
2019-09-23,65
2019-09-24,65
2019-09-25,65
2019-09-26,65
2019-09-27,63
2019-09-28,67
2019-09-29,64
2019-09-30,58
2019-10-01,66
2019-10-02,72
2019-10-03,64
2019-10-04,69
2019-10-05,62
2019-10-06,64
2019-10-07,72
2019-10-08,69
2019-10-09,68
2019-10-10,68
2019-10-11,64
2019-10-12,65
2019-10-13,66
2019-10-14,63
2019-10-15,70
2019-10-16,69
2019-10-17,67
2019-10-18,75
2019-10-19,75
2019-10-20,79
2019-10-21,68
2019-10-22,72
2019-10-23,75
2019-10-24,74
2019-10-25,85
2019-10-26,73
2019-10-27,72
2019-10-28,88
2019-10-29,90
2019-10-30,88
2019-10-31,82
2019-11-01,79
2019-11-02,78
2019-11-03,76
2019-11-04,87
2019-11-05,88
2019-11-06,78
2019-11-07,79
2019-11-08,79
2019-11-09,77
2019-11-10,77
2019-11-11,77
2019-11-12,81
2019-11-13,83
2019-11-14,86
2019-11-15,90
2019-11-16,80
2019-11-17,78
2019-11-18,77
2019-11-19,77
2019-11-20,80
2019-11-21,82
2019-11-22,82
2019-11-23,82
2019-11-24,83
2019-11-25,82
2019-11-26,84
2019-11-27,81
2019-11-28,83
2019-11-29,94
2019-11-30,86
2019-12-01,77
2019-12-02,75
2019-12-03,79
2019-12-04,71
2019-12-05,72
2019-12-06,82
2019-12-07,80
2019-12-08,73
2019-12-09,74
2019-12-10,77
2019-12-11,85
2019-12-12,82
2019-12-13,82
2019-12-14,86
2019-12-15,78
2019-12-16,74
2019-12-17,83
2019-12-18,82
2019-12-19,83
2019-12-20,86
2019-12-21,89
2019-12-22,83
2019-12-23,84
2019-12-24,89
2019-12-25,100
2019-12-26,98
2019-12-27,91
2019-12-28,85
2019-12-29,82
2019-12-30,84
2019-12-31,78
