Category: All categories

Day,Nvidia: (Worldwide)
2021-07-01,65
2021-07-02,58
2021-07-03,50
2021-07-04,49
2021-07-05,48
2021-07-06,54
2021-07-07,55
2021-07-08,59
2021-07-09,60
2021-07-10,53
2021-07-11,44
2021-07-12,50
2021-07-13,56
2021-07-14,62
2021-07-15,58
2021-07-16,59
2021-07-17,58
2021-07-18,49
2021-07-19,62
2021-07-20,100
2021-07-21,76
2021-07-22,68
2021-07-23,60
2021-07-24,50
2021-07-25,50
2021-07-26,59
2021-07-27,54
2021-07-28,55
2021-07-29,56
2021-07-30,52
2021-07-31,46
2021-08-01,41
2021-08-02,52
2021-08-03,54
2021-08-04,53
2021-08-05,54
2021-08-06,49
2021-08-07,47
2021-08-08,43
2021-08-09,50
2021-08-10,52
2021-08-11,51
2021-08-12,54
2021-08-13,51
2021-08-14,46
2021-08-15,45
2021-08-16,48
2021-08-17,50
2021-08-18,60
2021-08-19,64
2021-08-20,57
2021-08-21,51
2021-08-22,45
2021-08-23,53
2021-08-24,60
2021-08-25,59
2021-08-26,61
2021-08-27,54
2021-08-28,48
2021-08-29,48
2021-08-30,55
2021-08-31,54
2021-09-01,53
2021-09-02,55
2021-09-03,53
2021-09-04,48
2021-09-05,47
2021-09-06,47
2021-09-07,49
2021-09-08,49
2021-09-09,48
2021-09-10,49
2021-09-11,43
2021-09-12,44
2021-09-13,48
2021-09-14,51
2021-09-15,51
2021-09-16,47
2021-09-17,50
2021-09-18,46
2021-09-19,47
2021-09-20,51
2021-09-21,52
2021-09-22,50
2021-09-23,48
2021-09-24,48
2021-09-25,43
2021-09-26,42
2021-09-27,48
2021-09-28,44
2021-09-29,48
2021-09-30,46
2021-10-01,46
2021-10-02,45
2021-10-03,44
2021-10-04,48
2021-10-05,52
2021-10-06,53
2021-10-07,53
2021-10-08,60
2021-10-09,52
2021-10-10,45
2021-10-11,46
2021-10-12,51
2021-10-13,53
2021-10-14,50
2021-10-15,52
2021-10-16,48
2021-10-17,48
2021-10-18,47
2021-10-19,52
2021-10-20,49
2021-10-21,50
2021-10-22,51
2021-10-23,47
2021-10-24,42
2021-10-25,51
2021-10-26,64
2021-10-27,55
2021-10-28,57
2021-10-29,50
2021-10-30,48
2021-10-31,47
2021-11-01,50
2021-11-02,54
2021-11-03,53
2021-11-04,78
2021-11-05,81
2021-11-06,51
2021-11-07,47
2021-11-08,67
2021-11-09,79
2021-11-10,68
2021-11-11,65
2021-11-12,68
2021-11-13,55
2021-11-14,51
2021-11-15,66
2021-11-16,73
2021-11-17,81
2021-11-18,90
2021-11-19,79
2021-11-20,61
2021-11-21,59
2021-11-22,77
2021-11-23,74
2021-11-24,63
2021-11-25,61
2021-11-26,71
2021-11-27,59
2021-11-28,54
2021-11-29,65
2021-11-30,69
2021-12-01,67
2021-12-02,68
2021-12-03,71
2021-12-04,51
2021-12-05,49
2021-12-06,66
2021-12-07,69
2021-12-08,63
2021-12-09,64
2021-12-10,64
2021-12-11,53
2021-12-12,52
2021-12-13,66
2021-12-14,65
2021-12-15,61
2021-12-16,65
2021-12-17,71
2021-12-18,58
2021-12-19,53
2021-12-20,62
2021-12-21,65
2021-12-22,64
2021-12-23,62
2021-12-24,58
2021-12-25,56
2021-12-26,55
2021-12-27,63
2021-12-28,65
2021-12-29,60
2021-12-30,59
2021-12-31,52
