Category: All categories

Day,AMD: (Worldwide)
2022-07-01,83
2022-07-02,74
2022-07-03,76
2022-07-04,73
2022-07-05,78
2022-07-06,77
2022-07-07,78
2022-07-08,75
2022-07-09,76
2022-07-10,75
2022-07-11,77
2022-07-12,81
2022-07-13,82
2022-07-14,81
2022-07-15,81
2022-07-16,77
2022-07-17,75
2022-07-18,81
2022-07-19,80
2022-07-20,80
2022-07-21,80
2022-07-22,83
2022-07-23,78
2022-07-24,75
2022-07-25,79
2022-07-26,86
2022-07-27,84
2022-07-28,86
2022-07-29,87
2022-07-30,80
2022-07-31,81
2022-08-01,87
2022-08-02,98
2022-08-03,94
2022-08-04,88
2022-08-05,84
2022-08-06,77
2022-08-07,76
2022-08-08,83
2022-08-09,83
2022-08-10,84
2022-08-11,82
2022-08-12,81
2022-08-13,78
2022-08-14,76
2022-08-15,79
2022-08-16,81
2022-08-17,79
2022-08-18,79
2022-08-19,80
2022-08-20,75
2022-08-21,77
2022-08-22,78
2022-08-23,78
2022-08-24,80
2022-08-25,84
2022-08-26,79
2022-08-27,71
2022-08-28,67
2022-08-29,80
2022-08-30,87
2022-08-31,83
2022-09-01,84
2022-09-02,76
2022-09-03,70
2022-09-04,69
2022-09-05,73
2022-09-06,78
2022-09-07,73
2022-09-08,73
2022-09-09,75
2022-09-10,72
2022-09-11,69
2022-09-12,74
2022-09-13,74
2022-09-14,75
2022-09-15,75
2022-09-16,77
2022-09-17,72
2022-09-18,72
2022-09-19,75
2022-09-20,79
2022-09-21,82
2022-09-22,81
2022-09-23,84
2022-09-24,81
2022-09-25,80
2022-09-26,87
2022-09-27,88
2022-09-28,82
2022-09-29,83
2022-09-30,74
2022-10-01,72
2022-10-02,71
2022-10-03,73
2022-10-04,73
2022-10-05,77
2022-10-06,77
2022-10-07,85
2022-10-08,78
2022-10-09,70
2022-10-10,78
2022-10-11,83
2022-10-12,81
2022-10-13,76
2022-10-14,77
2022-10-15,73
2022-10-16,72
2022-10-17,73
2022-10-18,75
2022-10-19,74
2022-10-20,75
2022-10-21,77
2022-10-22,74
2022-10-23,72
2022-10-24,74
2022-10-25,74
2022-10-26,74
2022-10-27,71
2022-10-28,80
2022-10-29,77
2022-10-30,71
2022-10-31,79
2022-11-01,87
2022-11-02,84
2022-11-03,100
2022-11-04,94
2022-11-05,82
2022-11-06,77
2022-11-07,75
2022-11-08,80
2022-11-09,75
2022-11-10,79
2022-11-11,88
2022-11-12,80
2022-11-13,80
2022-11-14,86
2022-11-15,87
2022-11-16,87
2022-11-17,90
2022-11-18,88
2022-11-19,88
2022-11-20,86
2022-11-21,84
2022-11-22,88
2022-11-23,89
2022-11-24,84
2022-11-25,93
2022-11-26,88
2022-11-27,84
2022-11-28,84
2022-11-29,80
2022-11-30,74
2022-12-01,76
2022-12-02,78
2022-12-03,79
2022-12-04,78
2022-12-05,75
2022-12-06,76
2022-12-07,78
2022-12-08,82
2022-12-09,74
2022-12-10,72
2022-12-11,82
2022-12-12,85
2022-12-13,93
2022-12-14,87
2022-12-15,86
2022-12-16,85
2022-12-17,82
2022-12-18,77
2022-12-19,79
2022-12-20,80
2022-12-21,78
2022-12-22,83
2022-12-23,81
2022-12-24,74
2022-12-25,82
2022-12-26,81
2022-12-27,85
2022-12-28,86
2022-12-29,87
2022-12-30,85
2022-12-31,72
