Category: All categories

Day,AMD: (Worldwide)
2023-07-01,71
2023-07-02,67
2023-07-03,72
2023-07-04,66
2023-07-05,68
2023-07-06,71
2023-07-07,72
2023-07-08,68
2023-07-09,71
2023-07-10,75
2023-07-11,85
2023-07-12,82
2023-07-13,77
2023-07-14,79
2023-07-15,70
2023-07-16,72
2023-07-17,78
2023-07-18,77
2023-07-19,77
2023-07-20,74
2023-07-21,72
2023-07-22,69
2023-07-23,69
2023-07-24,77
2023-07-25,77
2023-07-26,76
2023-07-27,79
2023-07-28,79
2023-07-29,75
2023-07-30,69
2023-07-31,78
2023-08-01,91
2023-08-02,92
2023-08-03,81
2023-08-04,81
2023-08-05,73
2023-08-06,72
2023-08-07,78
2023-08-08,75
2023-08-09,78
2023-08-10,76
2023-08-11,76
2023-08-12,68
2023-08-13,68
2023-08-14,76
2023-08-15,76
2023-08-16,74
2023-08-17,73
2023-08-18,72
2023-08-19,67
2023-08-20,67
2023-08-21,77
2023-08-22,75
2023-08-23,81
2023-08-24,85
2023-08-25,81
2023-08-26,76
2023-08-27,77
2023-08-28,80
2023-08-29,78
2023-08-30,80
2023-08-31,81
2023-09-01,83
2023-09-02,77
2023-09-03,75
2023-09-04,76
2023-09-05,77
2023-09-06,84
2023-09-07,79
2023-09-08,78
2023-09-09,72
2023-09-10,74
2023-09-11,74
2023-09-12,72
2023-09-13,77
2023-09-14,69
2023-09-15,74
2023-09-16,65
2023-09-17,68
2023-09-18,73
2023-09-19,69
2023-09-20,70
2023-09-21,72
2023-09-22,71
2023-09-23,73
2023-09-24,72
2023-09-25,73
2023-09-26,73
2023-09-27,72
2023-09-28,76
2023-09-29,75
2023-09-30,75
2023-10-01,74
2023-10-02,75
2023-10-03,73
2023-10-04,73
2023-10-05,71
2023-10-06,74
2023-10-07,73
2023-10-08,73
2023-10-09,72
2023-10-10,77
2023-10-11,80
2023-10-12,75
2023-10-13,77
2023-10-14,75
2023-10-15,74
2023-10-16,71
2023-10-17,74
2023-10-18,73
2023-10-19,73
2023-10-20,73
2023-10-21,68
2023-10-22,69
2023-10-23,72
2023-10-24,73
2023-10-25,74
2023-10-26,73
2023-10-27,71
2023-10-28,70
2023-10-29,70
2023-10-30,69
2023-10-31,85
2023-11-01,86
2023-11-02,78
2023-11-03,79
2023-11-04,68
2023-11-05,73
2023-11-06,78
2023-11-07,72
2023-11-08,78
2023-11-09,74
2023-11-10,80
2023-11-11,76
2023-11-12,74
2023-11-13,79
2023-11-14,82
2023-11-15,82
2023-11-16,79
2023-11-17,82
2023-11-18,84
2023-11-19,78
2023-11-20,85
2023-11-21,84
2023-11-22,85
2023-11-23,84
2023-11-24,100
2023-11-25,87
2023-11-26,82
2023-11-27,81
2023-11-28,83
2023-11-29,77
2023-11-30,77
2023-12-01,75
2023-12-02,76
2023-12-03,74
2023-12-04,74
2023-12-05,77
2023-12-06,83
2023-12-07,94
2023-12-08,100
2023-12-09,81
2023-12-10,76
2023-12-11,82
2023-12-12,82
2023-12-13,82
2023-12-14,83
2023-12-15,87
2023-12-16,84
2023-12-17,78
2023-12-18,84
2023-12-19,79
2023-12-20,78
2023-12-21,81
2023-12-22,80
2023-12-23,78
2023-12-24,75
2023-12-25,91
2023-12-26,87
2023-12-27,91
2023-12-28,93
2023-12-29,91
2023-12-30,82
2023-12-31,73
