Category: All categories

Day,Nvidia: (Worldwide)
2023-07-01,29
2023-07-02,30
2023-07-03,38
2023-07-04,34
2023-07-05,38
2023-07-06,35
2023-07-07,34
2023-07-08,26
2023-07-09,27
2023-07-10,35
2023-07-11,38
2023-07-12,41
2023-07-13,40
2023-07-14,45
2023-07-15,30
2023-07-16,26
2023-07-17,38
2023-07-18,41
2023-07-19,43
2023-07-20,40
2023-07-21,38
2023-07-22,30
2023-07-23,26
2023-07-24,38
2023-07-25,37
2023-07-26,38
2023-07-27,40
2023-07-28,38
2023-07-29,29
2023-07-30,24
2023-07-31,37
2023-08-01,34
2023-08-02,37
2023-08-03,42
2023-08-04,41
2023-08-05,31
2023-08-06,29
2023-08-07,38
2023-08-08,40
2023-08-09,46
2023-08-10,42
2023-08-11,40
2023-08-12,31
2023-08-13,28
2023-08-14,39
2023-08-15,42
2023-08-16,41
2023-08-17,38
2023-08-18,38
2023-08-19,29
2023-08-20,30
2023-08-21,45
2023-08-22,57
2023-08-23,98
2023-08-24,100
2023-08-25,59
2023-08-26,39
2023-08-27,35
2023-08-28,45
2023-08-29,45
2023-08-30,49
2023-08-31,46
2023-09-01,44
2023-09-02,34
2023-09-03,30
2023-09-04,37
2023-09-05,40
2023-09-06,46
2023-09-07,46
2023-09-08,42
2023-09-09,34
2023-09-10,31
2023-09-11,40
2023-09-12,41
2023-09-13,42
2023-09-14,40
2023-09-15,37
2023-09-16,29
2023-09-17,29
2023-09-18,38
2023-09-19,36
2023-09-20,37
2023-09-21,40
2023-09-22,40
2023-09-23,30
2023-09-24,26
2023-09-25,37
2023-09-26,39
2023-09-27,36
2023-09-28,39
2023-09-29,37
2023-09-30,28
2023-10-01,28
2023-10-02,36
2023-10-03,35
2023-10-04,34
2023-10-05,36
2023-10-06,35
2023-10-07,27
2023-10-08,25
2023-10-09,35
2023-10-10,37
2023-10-11,37
2023-10-12,38
2023-10-13,37
2023-10-14,29
2023-10-15,28
2023-10-16,34
2023-10-17,40
2023-10-18,42
2023-10-19,39
2023-10-20,37
2023-10-21,28
2023-10-22,29
2023-10-23,37
2023-10-24,40
2023-10-25,38
2023-10-26,40
2023-10-27,40
2023-10-28,31
2023-10-29,28
2023-10-30,36
2023-10-31,40
2023-11-01,39
2023-11-02,41
2023-11-03,42
2023-11-04,32
2023-11-05,30
2023-11-06,37
2023-11-07,36
2023-11-08,38
2023-11-09,39
2023-11-10,40
2023-11-11,33
2023-11-12,29
2023-11-13,39
2023-11-14,46
2023-11-15,45
2023-11-16,42
2023-11-17,47
2023-11-18,36
2023-11-19,34
2023-11-20,49
2023-11-21,65
2023-11-22,65
2023-11-23,45
2023-11-24,47
2023-11-25,36
2023-11-26,34
2023-11-27,43
2023-11-28,44
2023-11-29,40
2023-11-30,41
2023-12-01,39
2023-12-02,33
2023-12-03,32
2023-12-04,41
2023-12-05,46
2023-12-06,45
2023-12-07,44
2023-12-08,48
2023-12-09,37
2023-12-10,36
2023-12-11,41
2023-12-12,42
2023-12-13,42
2023-12-14,42
2023-12-15,44
2023-12-16,35
2023-12-17,34
2023-12-18,44
2023-12-19,44
2023-12-20,43
2023-12-21,44
2023-12-22,43
2023-12-23,38
2023-12-24,33
2023-12-25,41
2023-12-26,43
2023-12-27,43
2023-12-28,45
2023-12-29,42
2023-12-30,34
2023-12-31,32
