Category: All categories

Day,AMD: (Worldwide)
2022-01-01,42
2022-01-02,42
2022-01-03,46
2022-01-04,100
2022-01-05,43
2022-01-06,41
2022-01-07,47
2022-01-08,45
2022-01-09,45
2022-01-10,45
2022-01-11,46
2022-01-12,48
2022-01-13,71
2022-01-14,37
2022-01-15,43
2022-01-16,66
2022-01-17,37
2022-01-18,42
2022-01-19,40
2022-01-20,46
2022-01-21,44
2022-01-22,45
2022-01-23,45
2022-01-24,43
2022-01-25,44
2022-01-26,42
2022-01-27,45
2022-01-28,48
2022-01-29,44
2022-01-30,43
2022-01-31,45
2022-02-01,51
2022-02-02,56
2022-02-03,48
2022-02-04,46
2022-02-05,45
2022-02-06,40
2022-02-07,46
2022-02-08,48
2022-02-09,48
2022-02-10,36
2022-02-11,47
2022-02-12,46
2022-02-13,44
2022-02-14,48
2022-02-15,53
2022-02-16,51
2022-02-17,52
2022-02-18,51
2022-02-19,49
2022-02-20,46
2022-02-21,44
2022-02-22,49
2022-02-23,48
2022-02-24,47
2022-02-25,49
2022-02-26,44
2022-02-27,47
2022-02-28,47
2022-03-01,45
2022-03-02,47
2022-03-03,47
2022-03-04,48
2022-03-05,46
2022-03-06,44
2022-03-07,46
2022-03-08,46
2022-03-09,47
2022-03-10,47
2022-03-11,48
2022-03-12,45
2022-03-13,44
2022-03-14,47
2022-03-15,49
2022-03-16,48
2022-03-17,52
2022-03-18,51
2022-03-19,46
2022-03-20,43
2022-03-21,47
2022-03-22,47
2022-03-23,44
2022-03-24,46
2022-03-25,47
2022-03-26,44
2022-03-27,42
2022-03-28,43
2022-03-29,43
2022-03-30,46
2022-03-31,47
2022-04-01,43
2022-04-02,41
2022-04-03,42
2022-04-04,43
2022-04-05,42
2022-04-06,44
2022-04-07,44
2022-04-08,43
2022-04-09,41
2022-04-10,41
2022-04-11,42
2022-04-12,39
2022-04-13,42
2022-04-14,45
2022-04-15,44
2022-04-16,42
2022-04-17,40
2022-04-18,45
2022-04-19,44
2022-04-20,44
2022-04-21,45
2022-04-22,42
2022-04-23,42
2022-04-24,39
2022-04-25,42
2022-04-26,45
2022-04-27,42
2022-04-28,42
2022-04-29,43
2022-04-30,42
2022-05-01,39
2022-05-02,43
2022-05-03,49
2022-05-04,49
2022-05-05,45
2022-05-06,42
2022-05-07,42
2022-05-08,37
2022-05-09,42
2022-05-10,44
2022-05-11,47
2022-05-12,42
2022-05-13,41
2022-05-14,38
2022-05-15,38
2022-05-16,38
2022-05-17,41
2022-05-18,39
2022-05-19,41
2022-05-20,39
2022-05-21,38
2022-05-22,35
2022-05-23,41
2022-05-24,42
2022-05-25,40
2022-05-26,40
2022-05-27,40
2022-05-28,37
2022-05-29,36
2022-05-30,38
2022-05-31,38
2022-06-01,38
2022-06-02,41
2022-06-03,41
2022-06-04,39
2022-06-05,38
2022-06-06,41
2022-06-07,42
2022-06-08,40
2022-06-09,39
2022-06-10,41
2022-06-11,39
2022-06-12,38
2022-06-13,39
2022-06-14,42
2022-06-15,41
2022-06-16,44
2022-06-17,43
2022-06-18,41
2022-06-19,41
2022-06-20,38
2022-06-21,42
2022-06-22,42
2022-06-23,42
2022-06-24,42
2022-06-25,41
2022-06-26,40
2022-06-27,42
2022-06-28,42
2022-06-29,43
2022-06-30,43
