Category: All categories

Day,Nvidia: (Worldwide)
2022-01-01,37
2022-01-02,37
2022-01-03,43
2022-01-04,100
2022-01-05,46
2022-01-06,39
2022-01-07,46
2022-01-08,42
2022-01-09,39
2022-01-10,45
2022-01-11,45
2022-01-12,44
2022-01-13,75
2022-01-14,44
2022-01-15,50
2022-01-16,61
2022-01-17,44
2022-01-18,40
2022-01-19,41
2022-01-20,46
2022-01-21,44
2022-01-22,43
2022-01-23,47
2022-01-24,44
2022-01-25,46
2022-01-26,45
2022-01-27,50
2022-01-28,48
2022-01-29,42
2022-01-30,39
2022-01-31,42
2022-02-01,41
2022-02-02,47
2022-02-03,44
2022-02-04,45
2022-02-05,39
2022-02-06,33
2022-02-07,43
2022-02-08,51
2022-02-09,47
2022-02-10,34
2022-02-11,41
2022-02-12,35
2022-02-13,39
2022-02-14,43
2022-02-15,50
2022-02-16,55
2022-02-17,54
2022-02-18,49
2022-02-19,42
2022-02-20,40
2022-02-21,39
2022-02-22,45
2022-02-23,44
2022-02-24,43
2022-02-25,48
2022-02-26,41
2022-02-27,37
2022-02-28,44
2022-03-01,42
2022-03-02,39
2022-03-03,42
2022-03-04,42
2022-03-05,39
2022-03-06,39
2022-03-07,42
2022-03-08,43
2022-03-09,39
2022-03-10,43
2022-03-11,41
2022-03-12,39
2022-03-13,40
2022-03-14,39
2022-03-15,36
2022-03-16,43
2022-03-17,44
2022-03-18,45
2022-03-19,39
2022-03-20,38
2022-03-21,41
2022-03-22,45
2022-03-23,44
2022-03-24,46
2022-03-25,43
2022-03-26,39
2022-03-27,36
2022-03-28,40
2022-03-29,43
2022-03-30,43
2022-03-31,40
2022-04-01,39
2022-04-02,36
2022-04-03,35
2022-04-04,36
2022-04-05,36
2022-04-06,38
2022-04-07,39
2022-04-08,38
2022-04-09,40
2022-04-10,35
2022-04-11,38
2022-04-12,36
2022-04-13,36
2022-04-14,39
2022-04-15,41
2022-04-16,40
2022-04-17,34
2022-04-18,38
2022-04-19,38
2022-04-20,39
2022-04-21,39
2022-04-22,41
2022-04-23,36
2022-04-24,35
2022-04-25,32
2022-04-26,38
2022-04-27,39
2022-04-28,39
2022-04-29,37
2022-04-30,36
2022-05-01,32
2022-05-02,35
2022-05-03,35
2022-05-04,36
2022-05-05,36
2022-05-06,37
2022-05-07,36
2022-05-08,33
2022-05-09,41
2022-05-10,37
2022-05-11,41
2022-05-12,38
2022-05-13,37
2022-05-14,32
2022-05-15,34
2022-05-16,32
2022-05-17,33
2022-05-18,34
2022-05-19,37
2022-05-20,36
2022-05-21,33
2022-05-22,28
2022-05-23,35
2022-05-24,38
2022-05-25,42
2022-05-26,43
2022-05-27,35
2022-05-28,29
2022-05-29,28
2022-05-30,31
2022-05-31,35
2022-06-01,34
2022-06-02,34
2022-06-03,35
2022-06-04,30
2022-06-05,30
2022-06-06,33
2022-06-07,34
2022-06-08,33
2022-06-09,32
2022-06-10,34
2022-06-11,29
2022-06-12,28
2022-06-13,33
2022-06-14,36
2022-06-15,40
2022-06-16,43
2022-06-17,41
2022-06-18,37
2022-06-19,36
2022-06-20,33
2022-06-21,36
2022-06-22,36
2022-06-23,35
2022-06-24,35
2022-06-25,30
2022-06-26,30
2022-06-27,37
2022-06-28,36
2022-06-29,37
2022-06-30,36
