Category: All categories

Day,AMD: (Worldwide)
2019-01-02,60
2019-01-03,66
2019-01-04,66
2019-01-05,56
2019-01-06,59
2019-01-07,69
2019-01-08,75
2019-01-09,90
2019-01-10,75
2019-01-11,69
2019-01-12,63
2019-01-13,57
2019-01-14,61
2019-01-15,63
2019-01-16,60
2019-01-17,61
2019-01-18,57
2019-01-19,55
2019-01-20,54
2019-01-21,54
2019-01-22,55
2019-01-23,60
2019-01-24,59
2019-01-25,60
2019-01-26,56
2019-01-27,53
2019-01-28,63
2019-01-29,70
2019-01-30,73
2019-01-31,71
2019-02-01,64
2019-02-02,57
2019-02-03,52
2019-02-04,59
2019-02-05,67
2019-02-06,60
2019-02-07,66
2019-02-08,61
2019-02-09,61
2019-02-10,54
2019-02-11,57
2019-02-12,59
2019-02-13,60
2019-02-14,56
2019-02-15,64
2019-02-16,54
2019-02-17,55
2019-02-18,56
2019-02-19,60
2019-02-20,58
2019-02-21,58
2019-02-22,58
2019-02-23,53
2019-02-24,54
2019-02-25,59
2019-02-26,55
2019-02-27,56
2019-02-28,54
2019-03-01,51
2019-03-02,51
2019-03-03,54
2019-03-04,56
2019-03-05,54
2019-03-06,58
2019-03-07,56
2019-03-08,53
2019-03-09,52
2019-03-10,51
2019-03-11,55
2019-03-12,56
2019-03-13,54
2019-03-14,54
2019-03-15,55
2019-03-16,52
2019-03-17,52
2019-03-18,54
2019-03-19,64
2019-03-20,68
2019-03-21,59
2019-03-22,59
2019-03-23,49
2019-03-24,48
2019-03-25,54
2019-03-26,56
2019-03-27,54
2019-03-28,53
2019-03-29,54
2019-03-30,48
2019-03-31,48
2019-04-01,48
2019-04-02,54
2019-04-03,62
2019-04-04,61
2019-04-05,53
2019-04-06,46
2019-04-07,46
2019-04-08,54
2019-04-09,50
2019-04-10,52
2019-04-11,52
2019-04-12,51
2019-04-13,47
2019-04-14,43
2019-04-15,48
2019-04-16,51
2019-04-17,51
2019-04-18,53
2019-04-19,51
2019-04-20,46
2019-04-21,45
2019-04-22,49
2019-04-23,52
2019-04-24,52
2019-04-25,54
2019-04-26,50
2019-04-27,50
2019-04-28,45
2019-04-29,53
2019-04-30,62
2019-05-01,64
2019-05-02,53
2019-05-03,56
2019-05-04,47
2019-05-05,46
2019-05-06,50
2019-05-07,51
2019-05-08,52
2019-05-09,51
2019-05-10,50
2019-05-11,49
2019-05-12,45
2019-05-13,51
2019-05-14,49
2019-05-15,51
2019-05-16,51
2019-05-17,51
2019-05-18,48
2019-05-19,46
2019-05-20,49
2019-05-21,53
2019-05-22,52
2019-05-23,45
2019-05-24,49
2019-05-25,49
2019-05-26,51
2019-05-27,100
2019-05-28,88
2019-05-29,76
2019-05-30,66
2019-05-31,62
2019-06-01,50
2019-06-02,52
2019-06-03,65
2019-06-04,65
2019-06-05,61
2019-06-06,64
2019-06-07,62
2019-06-08,56
2019-06-09,57
2019-06-10,79
2019-06-11,81
2019-06-12,68
2019-06-13,64
2019-06-14,62
2019-06-15,56
2019-06-16,49
2019-06-17,65
2019-06-18,63
2019-06-19,58
2019-06-20,61
2019-06-21,58
2019-06-22,53
2019-06-23,51
2019-06-24,58
2019-06-25,56
2019-06-26,57
2019-06-27,61
2019-06-28,58
2019-06-29,55
2019-06-30,52
