Category: All categories

Day,Nvidia: (Worldwide)
2019-01-02,87
2019-01-03,89
2019-01-04,85
2019-01-05,86
2019-01-06,87
2019-01-07,100
2019-01-08,93
2019-01-09,94
2019-01-10,90
2019-01-11,87
2019-01-12,68
2019-01-13,71
2019-01-14,81
2019-01-15,98
2019-01-16,93
2019-01-17,87
2019-01-18,89
2019-01-19,90
2019-01-20,87
2019-01-21,85
2019-01-22,77
2019-01-23,82
2019-01-24,84
2019-01-25,87
2019-01-26,85
2019-01-27,84
2019-01-28,95
2019-01-29,98
2019-01-30,85
2019-01-31,80
2019-02-01,80
2019-02-02,80
2019-02-03,79
2019-02-04,75
2019-02-05,77
2019-02-06,78
2019-02-07,82
2019-02-08,78
2019-02-09,84
2019-02-10,75
2019-02-11,80
2019-02-12,82
2019-02-13,84
2019-02-14,95
2019-02-15,96
2019-02-16,87
2019-02-17,85
2019-02-18,81
2019-02-19,83
2019-02-20,71
2019-02-21,63
2019-02-22,81
2019-02-23,87
2019-02-24,73
2019-02-25,71
2019-02-26,74
2019-02-27,74
2019-02-28,74
2019-03-01,71
2019-03-02,73
2019-03-03,79
2019-03-04,67
2019-03-05,71
2019-03-06,69
2019-03-07,70
2019-03-08,68
2019-03-09,73
2019-03-10,66
2019-03-11,80
2019-03-12,68
2019-03-13,70
2019-03-14,67
2019-03-15,68
2019-03-16,66
2019-03-17,65
2019-03-18,67
2019-03-19,87
2019-03-20,80
2019-03-21,69
2019-03-22,78
2019-03-23,70
2019-03-24,64
2019-03-25,64
2019-03-26,66
2019-03-27,61
2019-03-28,63
2019-03-29,67
2019-03-30,59
2019-03-31,61
2019-04-01,59
2019-04-02,59
2019-04-03,59
2019-04-04,60
2019-04-05,60
2019-04-06,58
2019-04-07,59
2019-04-08,59
2019-04-09,56
2019-04-10,59
2019-04-11,62
2019-04-12,60
2019-04-13,57
2019-04-14,53
2019-04-15,53
2019-04-16,51
2019-04-17,52
2019-04-18,54
2019-04-19,59
2019-04-20,51
2019-04-21,58
2019-04-22,62
2019-04-23,68
2019-04-24,62
2019-04-25,59
2019-04-26,58
2019-04-27,54
2019-04-28,57
2019-04-29,53
2019-04-30,56
2019-05-01,57
2019-05-02,53
2019-05-03,56
2019-05-04,54
2019-05-05,52
2019-05-06,49
2019-05-07,47
2019-05-08,50
2019-05-09,51
2019-05-10,54
2019-05-11,54
2019-05-12,51
2019-05-13,49
2019-05-14,52
2019-05-15,52
2019-05-16,57
2019-05-17,64
2019-05-18,55
2019-05-19,55
2019-05-20,50
2019-05-21,52
2019-05-22,52
2019-05-23,54
2019-05-24,54
2019-05-25,52
2019-05-26,52
2019-05-27,55
2019-05-28,61
2019-05-29,57
2019-05-30,56
2019-05-31,59
2019-06-01,53
2019-06-02,55
2019-06-03,54
2019-06-04,59
2019-06-05,60
2019-06-06,60
2019-06-07,59
2019-06-08,60
2019-06-09,58
2019-06-10,59
2019-06-11,55
2019-06-12,56
2019-06-13,60
2019-06-14,58
2019-06-15,62
2019-06-16,56
2019-06-17,59
2019-06-18,64
2019-06-19,63
2019-06-20,68
2019-06-21,62
2019-06-22,58
2019-06-23,56
2019-06-24,59
2019-06-25,55
2019-06-26,58
2019-06-27,58
2019-06-28,60
2019-06-29,58
2019-06-30,58
