Category: All categories

Day,AMD: (Worldwide)
2021-01-01,73
2021-01-02,79
2021-01-03,81
2021-01-04,84
2021-01-05,89
2021-01-06,83
2021-01-07,86
2021-01-08,85
2021-01-09,83
2021-01-10,76
2021-01-11,81
2021-01-12,94
2021-01-13,88
2021-01-14,89
2021-01-15,88
2021-01-16,80
2021-01-17,72
2021-01-18,73
2021-01-19,82
2021-01-20,80
2021-01-21,85
2021-01-22,88
2021-01-23,81
2021-01-24,75
2021-01-25,88
2021-01-26,91
2021-01-27,100
2021-01-28,89
2021-01-29,88
2021-01-30,79
2021-01-31,82
2021-02-01,84
2021-02-02,87
2021-02-03,82
2021-02-04,84
2021-02-05,79
2021-02-06,73
2021-02-07,73
2021-02-08,80
2021-02-09,83
2021-02-10,84
2021-02-11,77
2021-02-12,81
2021-02-13,72
2021-02-14,70
2021-02-15,77
2021-02-16,78
2021-02-17,77
2021-02-18,72
2021-02-19,76
2021-02-20,75
2021-02-21,72
2021-02-22,76
2021-02-23,78
2021-02-24,75
2021-02-25,79
2021-02-26,79
2021-02-27,72
2021-02-28,71
2021-03-01,75
2021-03-02,76
2021-03-03,78
2021-03-04,79
2021-03-05,78
2021-03-06,69
2021-03-07,65
2021-03-08,75
2021-03-09,79
2021-03-10,73
2021-03-11,72
2021-03-12,70
2021-03-13,72
2021-03-14,69
2021-03-15,75
2021-03-16,79
2021-03-17,82
2021-03-18,88
2021-03-19,76
2021-03-20,68
2021-03-21,69
2021-03-22,73
2021-03-23,70
2021-03-24,73
2021-03-25,71
2021-03-26,71
2021-03-27,67
2021-03-28,63
2021-03-29,70
2021-03-30,72
2021-03-31,74
2021-04-01,73
2021-04-02,68
2021-04-03,63
2021-04-04,65
2021-04-05,70
2021-04-06,69
2021-04-07,73
2021-04-08,75
2021-04-09,74
2021-04-10,62
2021-04-11,62
2021-04-12,70
2021-04-13,74
2021-04-14,71
2021-04-15,72
2021-04-16,72
2021-04-17,64
2021-04-18,62
2021-04-19,68
2021-04-20,71
2021-04-21,71
2021-04-22,70
2021-04-23,72
2021-04-24,68
2021-04-25,64
2021-04-26,73
2021-04-27,78
2021-04-28,86
2021-04-29,76
2021-04-30,70
2021-05-01,61
2021-05-02,62
2021-05-03,72
2021-05-04,71
2021-05-05,69
2021-05-06,74
2021-05-07,71
2021-05-08,63
2021-05-09,56
2021-05-10,70
2021-05-11,71
2021-05-12,68
2021-05-13,72
2021-05-14,68
2021-05-15,64
2021-05-16,60
2021-05-17,66
2021-05-18,72
2021-05-19,70
2021-05-20,69
2021-05-21,67
2021-05-22,61
2021-05-23,58
2021-05-24,67
2021-05-25,67
2021-05-26,64
2021-05-27,69
2021-05-28,68
2021-05-29,62
2021-05-30,63
2021-05-31,62
2021-06-01,81
2021-06-02,75
2021-06-03,68
2021-06-04,68
2021-06-05,64
2021-06-06,61
2021-06-07,67
2021-06-08,64
2021-06-09,67
2021-06-10,69
2021-06-11,69
2021-06-12,55
2021-06-13,59
2021-06-14,65
2021-06-15,64
2021-06-16,65
2021-06-17,77
2021-06-18,69
2021-06-19,61
2021-06-20,59
2021-06-21,63
2021-06-22,75
2021-06-23,67
2021-06-24,72
2021-06-25,76
2021-06-26,71
2021-06-27,66
2021-06-28,71
2021-06-29,71
2021-06-30,81
