Category: All categories

Day,AMD: (Worldwide)
2021-07-01,89
2021-07-02,77
2021-07-03,71
2021-07-04,72
2021-07-05,73
2021-07-06,78
2021-07-07,76
2021-07-08,80
2021-07-09,78
2021-07-10,73
2021-07-11,61
2021-07-12,75
2021-07-13,76
2021-07-14,79
2021-07-15,79
2021-07-16,79
2021-07-17,71
2021-07-18,68
2021-07-19,76
2021-07-20,80
2021-07-21,78
2021-07-22,79
2021-07-23,77
2021-07-24,72
2021-07-25,68
2021-07-26,78
2021-07-27,85
2021-07-28,87
2021-07-29,93
2021-07-30,88
2021-07-31,76
2021-08-01,69
2021-08-02,85
2021-08-03,85
2021-08-04,95
2021-08-05,96
2021-08-06,84
2021-08-07,72
2021-08-08,67
2021-08-09,83
2021-08-10,85
2021-08-11,86
2021-08-12,82
2021-08-13,78
2021-08-14,69
2021-08-15,67
2021-08-16,82
2021-08-17,79
2021-08-18,82
2021-08-19,79
2021-08-20,73
2021-08-21,70
2021-08-22,71
2021-08-23,77
2021-08-24,82
2021-08-25,79
2021-08-26,79
2021-08-27,71
2021-08-28,74
2021-08-29,71
2021-08-30,77
2021-08-31,74
2021-09-01,70
2021-09-02,74
2021-09-03,70
2021-09-04,67
2021-09-05,63
2021-09-06,68
2021-09-07,71
2021-09-08,68
2021-09-09,71
2021-09-10,69
2021-09-11,63
2021-09-12,60
2021-09-13,71
2021-09-14,72
2021-09-15,71
2021-09-16,70
2021-09-17,69
2021-09-18,63
2021-09-19,63
2021-09-20,74
2021-09-21,68
2021-09-22,70
2021-09-23,71
2021-09-24,69
2021-09-25,62
2021-09-26,59
2021-09-27,66
2021-09-28,69
2021-09-29,70
2021-09-30,72
2021-10-01,71
2021-10-02,59
2021-10-03,54
2021-10-04,66
2021-10-05,73
2021-10-06,76
2021-10-07,77
2021-10-08,70
2021-10-09,67
2021-10-10,68
2021-10-11,72
2021-10-12,75
2021-10-13,82
2021-10-14,79
2021-10-15,77
2021-10-16,62
2021-10-17,68
2021-10-18,76
2021-10-19,80
2021-10-20,71
2021-10-21,81
2021-10-22,80
2021-10-23,68
2021-10-24,65
2021-10-25,76
2021-10-26,87
2021-10-27,83
2021-10-28,80
2021-10-29,77
2021-10-30,64
2021-10-31,59
2021-11-01,75
2021-11-02,74
2021-11-03,74
2021-11-04,83
2021-11-05,80
2021-11-06,66
2021-11-07,66
2021-11-08,99
2021-11-09,100
2021-11-10,90
2021-11-11,83
2021-11-12,85
2021-11-13,72
2021-11-14,66
2021-11-15,82
2021-11-16,86
2021-11-17,83
2021-11-18,86
2021-11-19,81
2021-11-20,71
2021-11-21,70
2021-11-22,84
2021-11-23,80
2021-11-24,82
2021-11-25,83
2021-11-26,91
2021-11-27,69
2021-11-28,73
2021-11-29,83
2021-11-30,85
2021-12-01,78
2021-12-02,76
2021-12-03,81
2021-12-04,68
2021-12-05,64
2021-12-06,76
2021-12-07,74
2021-12-08,76
2021-12-09,76
2021-12-10,78
2021-12-11,66
2021-12-12,68
2021-12-13,71
2021-12-14,75
2021-12-15,77
2021-12-16,79
2021-12-17,73
2021-12-18,66
2021-12-19,65
2021-12-20,71
2021-12-21,72
2021-12-22,76
2021-12-23,74
2021-12-24,63
2021-12-25,67
2021-12-26,69
2021-12-27,88
2021-12-28,82
2021-12-29,80
2021-12-30,80
2021-12-31,66
