Category: All categories

Day,AMD: (Worldwide)
2019-07-01,67
2019-07-02,64
2019-07-03,64
2019-07-04,61
2019-07-05,65
2019-07-06,64
2019-07-07,96
2019-07-08,94
2019-07-09,86
2019-07-10,80
2019-07-11,77
2019-07-12,76
2019-07-13,67
2019-07-14,69
2019-07-15,83
2019-07-16,78
2019-07-17,72
2019-07-18,69
2019-07-19,66
2019-07-20,59
2019-07-21,56
2019-07-22,65
2019-07-23,66
2019-07-24,66
2019-07-25,68
2019-07-26,62
2019-07-27,56
2019-07-28,56
2019-07-29,64
2019-07-30,77
2019-07-31,77
2019-08-01,66
2019-08-02,66
2019-08-03,58
2019-08-04,57
2019-08-05,67
2019-08-06,68
2019-08-07,67
2019-08-08,81
2019-08-09,78
2019-08-10,62
2019-08-11,58
2019-08-12,70
2019-08-13,71
2019-08-14,71
2019-08-15,75
2019-08-16,72
2019-08-17,60
2019-08-18,57
2019-08-19,68
2019-08-20,63
2019-08-21,63
2019-08-22,66
2019-08-23,64
2019-08-24,58
2019-08-25,58
2019-08-26,65
2019-08-27,69
2019-08-28,72
2019-08-29,68
2019-08-30,65
2019-08-31,56
2019-09-01,55
2019-09-02,54
2019-09-03,67
2019-09-04,62
2019-09-05,66
2019-09-06,68
2019-09-07,58
2019-09-08,53
2019-09-09,61
2019-09-10,65
2019-09-11,63
2019-09-12,63
2019-09-13,60
2019-09-14,57
2019-09-15,56
2019-09-16,61
2019-09-17,60
2019-09-18,61
2019-09-19,64
2019-09-20,59
2019-09-21,55
2019-09-22,51
2019-09-23,59
2019-09-24,65
2019-09-25,57
2019-09-26,57
2019-09-27,61
2019-09-28,59
2019-09-29,56
2019-09-30,63
2019-10-01,66
2019-10-02,63
2019-10-03,64
2019-10-04,59
2019-10-05,54
2019-10-06,55
2019-10-07,63
2019-10-08,67
2019-10-09,61
2019-10-10,59
2019-10-11,62
2019-10-12,56
2019-10-13,57
2019-10-14,59
2019-10-15,66
2019-10-16,59
2019-10-17,61
2019-10-18,60
2019-10-19,54
2019-10-20,57
2019-10-21,62
2019-10-22,61
2019-10-23,62
2019-10-24,63
2019-10-25,65
2019-10-26,57
2019-10-27,55
2019-10-28,66
2019-10-29,76
2019-10-30,68
2019-10-31,62
2019-11-01,67
2019-11-02,56
2019-11-03,55
2019-11-04,68
2019-11-05,73
2019-11-06,69
2019-11-07,70
2019-11-08,71
2019-11-09,60
2019-11-10,58
2019-11-11,69
2019-11-12,66
2019-11-13,71
2019-11-14,75
2019-11-15,74
2019-11-16,66
2019-11-17,67
2019-11-18,75
2019-11-19,78
2019-11-20,78
2019-11-21,75
2019-11-22,77
2019-11-23,65
2019-11-24,67
2019-11-25,85
2019-11-26,81
2019-11-27,78
2019-11-28,78
2019-11-29,100
2019-11-30,81
2019-12-01,74
2019-12-02,85
2019-12-03,75
2019-12-04,70
2019-12-05,71
2019-12-06,70
2019-12-07,65
2019-12-08,59
2019-12-09,66
2019-12-10,74
2019-12-11,74
2019-12-12,70
2019-12-13,74
2019-12-14,71
2019-12-15,67
2019-12-16,71
2019-12-17,70
2019-12-18,69
2019-12-19,72
2019-12-20,74
2019-12-21,66
2019-12-22,65
2019-12-23,73
2019-12-24,78
2019-12-25,73
2019-12-26,82
2019-12-27,80
2019-12-28,72
2019-12-29,67
2019-12-30,75
2019-12-31,67
