Category: All categories

Day,Nvidia: (Worldwide)
2023-01-01,25
2023-01-02,33
2023-01-03,36
2023-01-04,35
2023-01-05,37
2023-01-06,38
2023-01-07,33
2023-01-08,31
2023-01-09,32
2023-01-10,31
2023-01-11,33
2023-01-12,33
2023-01-13,33
2023-01-14,30
2023-01-15,29
2023-01-16,30
2023-01-17,32
2023-01-18,31
2023-01-19,31
2023-01-20,30
2023-01-21,29
2023-01-22,28
2023-01-23,33
2023-01-24,35
2023-01-25,35
2023-01-26,35
2023-01-27,34
2023-01-28,33
2023-01-29,31
2023-01-30,34
2023-01-31,35
2023-02-01,35
2023-02-02,33
2023-02-03,36
2023-02-04,31
2023-02-05,29
2023-02-06,30
2023-02-07,33
2023-02-08,36
2023-02-09,36
2023-02-10,34
2023-02-11,33
2023-02-12,31
2023-02-13,32
2023-02-14,32
2023-02-15,33
2023-02-16,32
2023-02-17,32
2023-02-18,27
2023-02-19,26
2023-02-20,29
2023-02-21,32
2023-02-22,36
2023-02-23,41
2023-02-24,38
2023-02-25,30
2023-02-26,29
2023-02-27,32
2023-02-28,34
2023-03-01,34
2023-03-02,31
2023-03-03,32
2023-03-04,30
2023-03-05,28
2023-03-06,31
2023-03-07,32
2023-03-08,34
2023-03-09,32
2023-03-10,33
2023-03-11,30
2023-03-12,29
2023-03-13,29
2023-03-14,31
2023-03-15,33
2023-03-16,32
2023-03-17,34
2023-03-18,29
2023-03-19,26
2023-03-20,35
2023-03-21,35
2023-03-22,35
2023-03-23,37
2023-03-24,37
2023-03-25,32
2023-03-26,28
2023-03-27,33
2023-03-28,32
2023-03-29,31
2023-03-30,32
2023-03-31,32
2023-04-01,27
2023-04-02,25
2023-04-03,29
2023-04-04,30
2023-04-05,28
2023-04-06,31
2023-04-07,30
2023-04-08,24
2023-04-09,25
2023-04-10,29
2023-04-11,32
2023-04-12,32
2023-04-13,34
2023-04-14,33
2023-04-15,27
2023-04-16,25
2023-04-17,29
2023-04-18,30
2023-04-19,32
2023-04-20,29
2023-04-21,28
2023-04-22,24
2023-04-23,22
2023-04-24,27
2023-04-25,27
2023-04-26,29
2023-04-27,26
2023-04-28,28
2023-04-29,24
2023-04-30,23
2023-05-01,29
2023-05-02,29
2023-05-03,29
2023-05-04,26
2023-05-05,26
2023-05-06,23
2023-05-07,22
2023-05-08,24
2023-05-09,25
2023-05-10,27
2023-05-11,26
2023-05-12,28
2023-05-13,24
2023-05-14,22
2023-05-15,24
2023-05-16,27
2023-05-17,28
2023-05-18,32
2023-05-19,31
2023-05-20,23
2023-05-21,22
2023-05-22,28
2023-05-23,29
2023-05-24,45
2023-05-25,100
2023-05-26,70
2023-05-27,43
2023-05-28,36
2023-05-29,40
2023-05-30,68
2023-05-31,60
2023-06-01,53
2023-06-02,48
2023-06-03,36
2023-06-04,33
2023-06-05,41
2023-06-06,40
2023-06-07,38
2023-06-08,37
2023-06-09,36
2023-06-10,27
2023-06-11,27
2023-06-12,35
2023-06-13,37
2023-06-14,42
2023-06-15,41
2023-06-16,38
2023-06-17,28
2023-06-18,27
2023-06-19,31
2023-06-20,36
2023-06-21,38
2023-06-22,33
2023-06-23,32
2023-06-24,24
2023-06-25,24
2023-06-26,34
2023-06-27,36
2023-06-28,38
2023-06-29,37
2023-06-30,35
