Category: All categories

Day,Nvidia: (Worldwide)
2021-01-01,77
2021-01-02,75
2021-01-03,77
2021-01-04,80
2021-01-05,82
2021-01-06,80
2021-01-07,83
2021-01-08,89
2021-01-09,84
2021-01-10,80
2021-01-11,82
2021-01-12,97
2021-01-13,88
2021-01-14,83
2021-01-15,79
2021-01-16,77
2021-01-17,70
2021-01-18,76
2021-01-19,77
2021-01-20,81
2021-01-21,77
2021-01-22,76
2021-01-23,75
2021-01-24,71
2021-01-25,74
2021-01-26,75
2021-01-27,78
2021-01-28,76
2021-01-29,71
2021-01-30,76
2021-01-31,65
2021-02-01,67
2021-02-02,77
2021-02-03,69
2021-02-04,75
2021-02-05,73
2021-02-06,67
2021-02-07,65
2021-02-08,72
2021-02-09,74
2021-02-10,77
2021-02-11,72
2021-02-12,78
2021-02-13,71
2021-02-14,65
2021-02-15,71
2021-02-16,69
2021-02-17,71
2021-02-18,78
2021-02-19,81
2021-02-20,79
2021-02-21,76
2021-02-22,78
2021-02-23,80
2021-02-24,77
2021-02-25,100
2021-02-26,87
2021-02-27,67
2021-02-28,69
2021-03-01,70
2021-03-02,67
2021-03-03,72
2021-03-04,72
2021-03-05,72
2021-03-06,64
2021-03-07,61
2021-03-08,67
2021-03-09,73
2021-03-10,62
2021-03-11,62
2021-03-12,69
2021-03-13,60
2021-03-14,62
2021-03-15,68
2021-03-16,78
2021-03-17,70
2021-03-18,70
2021-03-19,68
2021-03-20,60
2021-03-21,60
2021-03-22,62
2021-03-23,64
2021-03-24,65
2021-03-25,57
2021-03-26,66
2021-03-27,58
2021-03-28,55
2021-03-29,57
2021-03-30,69
2021-03-31,68
2021-04-01,70
2021-04-02,65
2021-04-03,57
2021-04-04,57
2021-04-05,61
2021-04-06,61
2021-04-07,63
2021-04-08,63
2021-04-09,61
2021-04-10,58
2021-04-11,58
2021-04-12,72
2021-04-13,80
2021-04-14,68
2021-04-15,72
2021-04-16,65
2021-04-17,55
2021-04-18,56
2021-04-19,64
2021-04-20,63
2021-04-21,58
2021-04-22,61
2021-04-23,57
2021-04-24,55
2021-04-25,61
2021-04-26,58
2021-04-27,57
2021-04-28,62
2021-04-29,62
2021-04-30,60
2021-05-01,54
2021-05-02,52
2021-05-03,56
2021-05-04,53
2021-05-05,55
2021-05-06,55
2021-05-07,60
2021-05-08,57
2021-05-09,52
2021-05-10,57
2021-05-11,59
2021-05-12,62
2021-05-13,57
2021-05-14,59
2021-05-15,56
2021-05-16,53
2021-05-17,58
2021-05-18,64
2021-05-19,66
2021-05-20,66
2021-05-21,64
2021-05-22,60
2021-05-23,56
2021-05-24,63
2021-05-25,65
2021-05-26,69
2021-05-27,66
2021-05-28,72
2021-05-29,61
2021-05-30,56
2021-05-31,55
2021-06-01,78
2021-06-02,79
2021-06-03,86
2021-06-04,77
2021-06-05,61
2021-06-06,56
2021-06-07,60
2021-06-08,64
2021-06-09,59
2021-06-10,69
2021-06-11,63
2021-06-12,56
2021-06-13,54
2021-06-14,57
2021-06-15,60
2021-06-16,56
2021-06-17,67
2021-06-18,65
2021-06-19,52
2021-06-20,50
2021-06-21,62
2021-06-22,67
2021-06-23,68
2021-06-24,68
2021-06-25,71
2021-06-26,60
2021-06-27,57
2021-06-28,64
2021-06-29,67
2021-06-30,69
