,DateTime,Open,High,Low,Close,Volume
0,2024-01-02 04:00:00,493.74,495.2,493.74,494.72,760
1,2024-01-02 04:01:00,494.85,494.85,494.83,494.83,289
2,2024-01-02 04:02:00,495.25,495.25,494.95,495.22,492
3,2024-01-02 04:03:00,495.28,495.28,495.28,495.28,101
4,2024-01-02 04:04:00,495.28,495.28,495.28,495.28,101
5,2024-01-02 04:05:00,495.0,495.35,494.83,495.35,951
6,2024-01-02 04:06:00,495.0,495.0,495.0,495.0,300
7,2024-01-02 04:07:00,494.83,494.97,494.83,494.97,420
8,2024-01-02 04:09:00,495.21,495.21,495.21,495.21,135
9,2024-01-02 04:11:00,495.21,495.21,495.21,495.21,100
10,2024-01-02 04:14:00,495.22,495.22,495.21,495.21,351
11,2024-01-02 04:17:00,494.97,494.97,494.97,494.97,147
12,2024-01-02 04:21:00,494.88,494.88,494.88,494.88,104
13,2024-01-02 04:25:00,495.0,495.0,495.0,495.0,420
14,2024-01-02 04:26:00,495.0,495.0,495.0,495.0,100
15,2024-01-02 04:31:00,495.11,495.11,495.11,495.11,100
16,2024-01-02 04:32:00,495.1,495.1,495.1,495.1,187
17,2024-01-02 04:35:00,495.0,495.0,495.0,495.0,125
18,2024-01-02 04:37:00,494.85,494.85,494.85,494.85,140
19,2024-01-02 04:40:00,494.25,494.25,494.25,494.25,100
20,2024-01-02 04:41:00,494.45,494.45,494.45,494.45,219
21,2024-01-02 04:45:00,494.95,495.0,494.95,495.0,266
22,2024-01-02 04:48:00,495.0,495.0,495.0,495.0,1018
23,2024-01-02 04:52:00,494.46,494.46,494.46,494.46,100
24,2024-01-02 04:57:00,494.96,494.96,494.96,494.96,100
25,2024-01-02 04:59:00,494.83,494.83,494.83,494.83,100
26,2024-01-02 05:00:00,495.0,495.0,495.0,495.0,1128
27,2024-01-02 05:03:00,494.97,494.97,494.97,494.97,100
28,2024-01-02 05:07:00,495.0,495.0,495.0,495.0,360
29,2024-01-02 05:09:00,494.99,494.99,494.99,494.99,100
30,2024-01-02 05:12:00,494.99,495.0,494.75,494.75,648
31,2024-01-02 05:14:00,494.66,494.66,494.55,494.55,259
32,2024-01-02 05:21:00,494.51,494.51,494.51,494.51,200
33,2024-01-02 05:24:00,494.5,494.5,494.5,494.5,265
34,2024-01-02 05:25:00,494.45,494.45,494.28,494.28,300
35,2024-01-02 05:28:00,494.0,494.0,493.8,493.8,1571
36,2024-01-02 05:32:00,494.0,494.0,494.0,494.0,100
37,2024-01-02 05:35:00,494.21,494.21,494.21,494.21,490
38,2024-01-02 05:44:00,494.55,494.55,494.55,494.55,300
39,2024-01-02 05:52:00,494.0,494.0,494.0,494.0,161
40,2024-01-02 05:56:00,494.0,494.2,494.0,494.2,312
41,2024-01-02 05:57:00,494.2,494.2,494.0,494.0,374
42,2024-01-02 05:58:00,493.81,493.81,493.81,493.81,188
43,2024-01-02 06:00:00,493.76,493.76,493.76,493.76,143
44,2024-01-02 06:02:00,493.81,493.81,493.81,493.81,338
45,2024-01-02 06:06:00,493.5,493.52,493.45,493.45,476
46,2024-01-02 06:07:00,493.33,493.33,493.33,493.33,103
47,2024-01-02 06:08:00,493.11,493.11,493.11,493.11,2480
48,2024-01-02 06:12:00,493.01,493.01,493.01,493.01,100
49,2024-01-02 06:13:00,493.0,493.0,492.57,492.58,761
50,2024-01-02 06:14:00,492.5,492.5,492.5,492.5,100
51,2024-01-02 06:15:00,492.22,492.22,492.22,492.22,100
52,2024-01-02 06:17:00,491.34,491.34,491.25,491.25,778
53,2024-01-02 06:19:00,490.74,490.74,490.74,490.74,510
54,2024-01-02 06:20:00,490.98,490.98,490.78,490.84,745
55,2024-01-02 06:21:00,490.8,490.94,490.8,490.94,463
56,2024-01-02 06:22:00,490.79,490.8,490.79,490.8,450
57,2024-01-02 06:24:00,490.02,490.02,490.0,490.0,225
58,2024-01-02 06:25:00,490.11,490.11,489.94,489.94,919
59,2024-01-02 06:27:00,489.6,489.6,489.21,489.21,1309
