,DateTime,Open,High,Low,Close,Volume
0,2024-01-02 04:00:00,147.78,148.29,147.62,147.63,1038
1,2024-01-02 04:01:00,147.45,147.45,147.45,147.45,100
2,2024-01-02 04:03:00,147.7,147.72,147.7,147.72,1374
3,2024-01-02 04:04:00,147.59,147.59,147.51,147.51,614
4,2024-01-02 04:06:00,147.56,147.56,147.56,147.56,100
5,2024-01-02 04:08:00,147.6,147.6,147.6,147.6,108
6,2024-01-02 04:09:00,147.8,147.8,147.8,147.8,100
7,2024-01-02 04:11:00,147.63,147.69,147.5,147.69,2469
8,2024-01-02 04:12:00,147.53,147.53,147.43,147.43,1480
9,2024-01-02 04:13:00,147.43,147.43,147.43,147.43,500
10,2024-01-02 04:14:00,147.63,147.63,147.63,147.63,1000
11,2024-01-02 04:16:00,147.3,147.3,147.3,147.3,266
12,2024-01-02 04:21:00,147.35,147.35,147.35,147.35,2497
13,2024-01-02 04:24:00,147.3,147.3,147.3,147.3,100
14,2024-01-02 04:26:00,147.26,147.26,147.26,147.26,100
15,2024-01-02 04:36:00,147.29,147.29,147.29,147.29,100
16,2024-01-02 04:37:00,147.28,147.28,147.27,147.27,319
17,2024-01-02 04:38:00,147.21,147.21,147.21,147.21,137
18,2024-01-02 04:39:00,147.21,147.21,147.21,147.21,242
19,2024-01-02 04:41:00,147.01,147.01,147.0,147.0,726
20,2024-01-02 04:42:00,146.9,146.9,146.85,146.85,683
21,2024-01-02 04:44:00,147.0,147.0,147.0,147.0,100
22,2024-01-02 04:45:00,147.02,147.02,147.0,147.0,200
23,2024-01-02 04:46:00,146.98,146.98,146.98,146.98,100
24,2024-01-02 04:48:00,147.0,147.06,147.0,147.06,2265
25,2024-01-02 04:49:00,147.0,147.0,146.93,146.93,300
26,2024-01-02 04:50:00,146.83,146.83,146.83,146.83,100
27,2024-01-02 04:55:00,146.8,146.8,146.8,146.8,2500
28,2024-01-02 05:03:00,146.82,146.82,146.82,146.82,417
29,2024-01-02 05:08:00,146.86,146.86,146.83,146.83,500
30,2024-01-02 05:12:00,146.74,146.74,146.73,146.74,512
31,2024-01-02 05:15:00,146.6,146.6,146.6,146.6,687
32,2024-01-02 05:22:00,146.7,146.7,146.7,146.7,127
33,2024-01-02 05:27:00,146.68,146.68,146.68,146.68,200
34,2024-01-02 05:28:00,146.66,146.66,146.66,146.66,195
35,2024-01-02 05:35:00,146.68,146.68,146.68,146.68,125
36,2024-01-02 05:39:00,146.79,146.8,146.79,146.8,1437
37,2024-01-02 05:40:00,146.79,146.8,146.79,146.8,2214
38,2024-01-02 05:42:00,146.83,146.83,146.83,146.83,200
39,2024-01-02 05:58:00,146.65,146.65,146.65,146.65,203
40,2024-01-02 05:59:00,146.64,146.64,146.64,146.64,300
41,2024-01-02 06:00:00,146.66,146.66,146.66,146.66,500
42,2024-01-02 06:01:00,146.62,146.62,146.62,146.62,1076
43,2024-01-02 06:05:00,146.62,146.63,146.62,146.63,604
44,2024-01-02 06:06:00,146.62,146.62,146.62,146.62,1336
45,2024-01-02 06:07:00,146.64,146.64,146.64,146.64,138
46,2024-01-02 06:08:00,146.56,146.56,146.5,146.5,1605
47,2024-01-02 06:12:00,146.36,146.36,146.36,146.36,500
48,2024-01-02 06:13:00,146.38,146.38,146.28,146.28,468
49,2024-01-02 06:16:00,146.03,146.03,145.7,145.73,4447
50,2024-01-02 06:17:00,145.73,145.73,145.67,145.67,1661
51,2024-01-02 06:18:00,145.71,145.71,145.62,145.62,873
52,2024-01-02 06:19:00,145.65,145.65,145.65,145.65,587
53,2024-01-02 06:20:00,145.65,145.66,145.65,145.65,334
54,2024-01-02 06:21:00,145.66,145.66,145.66,145.66,199
55,2024-01-02 06:22:00,145.6,145.6,145.6,145.6,101
56,2024-01-02 06:23:00,145.5,145.51,145.31,145.31,2836
57,2024-01-02 06:24:00,145.12,145.12,145.01,145.12,3658
58,2024-01-02 06:25:00,145.12,145.16,145.12,145.16,1900
59,2024-01-02 06:26:00,145.12,145.12,145.12,145.12,188
60,2024-01-02 06:27:00,145.0,145.0,144.96,144.96,5332
61,2024-01-02 06:28:00,144.71,144.76,144.71,144.76,200
62,2024-01-02 06:29:00,144.78,144.8,144.78,144.8,625
63,2024-01-02 06:31:00,144.86,144.86,144.86,144.86,115
64,2024-01-02 06:34:00,144.87,144.87,144.8,144.8,1125
65,2024-01-02 06:35:00,144.8,144.8,144.75,144.75,845
66,2024-01-02 06:36:00,144.75,144.75,144.75,144.75,200
67,2024-01-02 06:38:00,144.73,144.75,144.73,144.73,300
68,2024-01-02 06:39:00,144.84,144.84,144.75,144.75,949
69,2024-01-02 06:41:00,144.88,144.89,144.88,144.88,955
70,2024-01-02 06:43:00,144.84,144.84,144.83,144.83,2162
71,2024-01-02 06:44:00,144.88,144.88,144.88,144.88,267
72,2024-01-02 06:45:00,144.9,144.9,144.9,144.9,430
73,2024-01-02 06:48:00,144.94,144.95,144.94,144.95,524
74,2024-01-02 06:49:00,144.95,144.97,144.92,144.94,2558
75,2024-01-02 06:50:00,144.99,144.99,144.99,144.99,131
76,2024-01-02 06:51:00,144.99,144.99,144.99,144.99,200
77,2024-01-02 06:54:00,144.99,145.0,144.99,145.0,2606
78,2024-01-02 06:56:00,145.04,145.04,145.04,145.04,426
79,2024-01-02 06:58:00,145.17,145.17,145.06,145.06,200
80,2024-01-02 06:59:00,145.18,145.18,145.15,145.15,206
81,2024-01-02 07:00:00,145.17,146.0,145.02,145.5,9609
82,2024-01-02 07:01:00,145.65,145.65,145.49,145.49,200
